,production_companies,release_year,revenue
2902,Alliance Films,2012,95000
2903,Edge City,1971,11833696
2904,Elevation Filmworks,2010,19152480
2905,3 Arts Entertainment,2010,67738090
2906,Live Entertainment,1951,8000000
2907,Fuller Films,1964,9440272
2908,October Films,2012,21107746
2909,United Artists,1973,8844595
2910,Ponty Up Pictures,1968,6800000
2911,Alliance Films,2002,150277
2912,Walt Disney Productions,1972,9700000
2913,Central Cinema Company Film,2010,572809
2914,Handmade Films Ltd.,1999,1943649
2915,Selznick International Pictures,1938,7433101
2916,Paramount Pictures,1953,30500000
2917,Paramount,1949,5400000
2918,New World Pictures,1974,4420000
2919,Twentieth Century Fox Film Corporation,2007,22179430
2920,Twentieth Century Fox Film Corporation,1988,11806119
2921,Lions Gate Films,1939,9600000
2922,Fox Searchlight Pictures,1995,7412216
2923,Paramount Pictures,2005,11098131
2924,Samuel Goldwyn,2001,10013424
2925,Live Entertainment,1945,7000000
2926,Warner Bros.,2010,97009150
2927,L.I.F.T. Production,1984,2300000
2928,Conquest Productions,2005,712294
2929,Warner Bros.,2013,3566225
2930,United Artists,1993,418961
2931,Woodfall Film Productions,2001,416925
2932,Bazelevs Production,2001,373967
2933,Columbia Pictures Corporation,1936,8500000
2934,AVCO Embassy Pictures,2007,173066
2935,United Artists,2009,32000
2936,New World Pictures,2012,1165882
2937,Pure Flix Productions,1937,184925486
2938,Universal Pictures,1968,2620000
2939,Hunting Lane Films,1998,3897569
2940,IFC Films,1940,6000000
2941,Room 101,1981,21722776
2942,Twentieth Century Fox Film Corporation,1945,11000000
2943,Twentieth Century Fox Film Corporation,1984,3412497
2944,Lawrence Bender Productions,1953,8500000
2945,Republic Pictures (I),1941,6000000
2946,Worldview Entertainment,2004,103911669
2947,Rhino Films,2001,18492362
2948,Fox Searchlight Pictures,1955,7000000
2949,Electric Entertainment,2013,2861020
2950,Main Street Movie Company,1992,14661007
2951,Jigsaw Productions,2011,25000
2952,The Weinstein Company,1936,2736000
2953,ABC Pictures,2005,18637690
2954,Columbia Pictures,1987,1400000
2955,Stardust Pictures,1942,10462500
2956,Vulcan Productions Inc.,1976,117235147
2957,Destination Films,1963,37600000
2958,Walt Disney Productions,2015,62882090
2959,TLA Releasing,1976,28262574
2960,AdScott Pictures,1981,17985893
2961,Ruby in Paradise,1962,59600000
2962,Lucasfilm,1987,14564027
2963,Duplass Brothers Productions,2016,23507567
2964,Rook Films,2005,10047674
2965,Glass Eye Pix,2010,16566240
2966,United Artists,2005,13350369
2967,Fine Line Features,2012,101758490
2968,Thinkfilm,1970,40000000
2969,Redhorse Native,1956,9000000
2970,RKO Radio Pictures,2006,46243000
2971,Artisan Entertainment,1949,7800000
2972,WadleighMaurice,2014,6833445
2973,Proscenium Films,2012,9138338
2974,Carmel Entertainment,1997,2057193
2975,Plunge Pictures LLC,2006,1678874
2976,Next Wednesday Productions,2001,852206
2977,Whitewater Films,2007,274661
2978,Canal+,2006,10018
2979,Vertigo Entertainment,2006,7202
2980,Prophecy Pictures Ltd.,1968,814666
2981,Warner Bros.,1954,9600000
2982,Paramount Pictures,2011,30905
2983,Blumhouse Productions,2005,7022209
2984,Python (Monty) Pictures Limited,2005,381420
2985,Channel Four Films,1942,267447150
2986,Triangle Film Corporation,2003,819939
2987,MetroGoldwynMayer (MGM),2012,1243961
2988,Renaissance Pictures,1993,1001437
2989,United Artists,1973,140000000
2990,Columbia Pictures Corporation,2012,4007792
2991,Paramount Pictures,2011,171760
2992,Fine Line Features,2011,78396
2993,Dimension Films,1952,8000000
2994,Pandora Filmproduktion,1994,7830611
2995,New World Pictures,2006,4911725
2996,Miramax Films,1999,10508
2997,Tlfilm Canada,1935,3202000
2998,Bill Plympton Studios,1999,248000000
2999,Paramount Vantage,1970,34505110
3000,FilmworksFX,1964,12299668
3001,MetroGoldwynMayer (MGM),2008,33456317
3002,EM Media,2004,54667954
3003,Apostle Productions,1977,17000000
3004,Jack Dietz Productions,2003,8679814
3005,Kennedy Miller Productions,1999,500000
3006,Paramount Pictures,2004,603943
3007,GraceWorks Pictures,2010,98017
3008,EM Media,2010,4242978
3009,Artists Public Domain,2006,973525
3010,Yeah,1933,2281000
3011,IFC Productions,2004,46118097
3012,Summit Entertainment,2007,193355800
3013,Warner Bros.,1975,5028948
3014,Phantom Four,1985,2451545
3015,Destination Films,1916,8394751
3016,New Line Cinema,1929,4358000
3017,American Film Institute (AFI),1981,29400000
3018,Truth and Soul Pictures Inc,2012,31081
3019,Kathbur Pictures,2005,1750211
3020,Tiny Ponies,1957,1000000
3021,Automatik Entertainment,1934,4500000
3022,Miramax Films,2003,7808524
3023,Dreamland Productions,1999,1281176
3024,Thinkfilm,1995,16
