,production_companies,release_year,revenue
491,Morgan Creek Productions,2004,78000586
492,Summit Entertainment,2013,117698894
493,Columbia Pictures,2010,271430189
494,DreamWorks SKG,2004,219417255
495,DreamWorks SKG,2009,73034460
496,Columbia Pictures Corporation,2000,215663859
497,Universal Pictures,2007,119000410
498,DreamWorks SKG,2004,367275019
499,Paramount Pictures,2006,154937680
500,Double Feature Films,2005,95226116
501,DreamWorks SKG,2005,130358911
502,Columbia Pictures,2003,85632458
503,Katalyst Films,2010,98159963
504,Davis Entertainment,2015,108145109
505,Gracie Films,2004,55041367
506,Columbia Pictures,2006,140175006
507,Cheyenne Enterprises,2001,67631903
508,Columbia Pictures Corporation,1995,127600435
509,Virgin Produced,2011,226904017
510,Miramax Films,2005,77944725
511,Twentieth Century Fox Film Corporation,2000,36754634
512,Columbia Pictures,2003,51142659
513,Impact Pictures,1998,14567883
514,Twentieth Century Fox Film Corporation,2001,5409517
515,Twentieth Century Fox Film Corporation,2004,21009180
516,Limited Edition Productions Inc.,2000,248118121
517,Universal Pictures,2015,1156730962
518,Legendary Pictures,2011,89792502
519,Paramount Pictures,1998,103891409
520,Punch Productions,1998,13100000
521,Columbia Pictures,2016,349779543
522,De Line Pictures,2008,111231041
523,Columbia Pictures,2009,61458982
524,Universal Pictures,2007,86658558
525,Columbia Pictures,2006,162966177
526,Twentieth Century Fox Film Corporation,2001,176104344
527,Icon Entertainment International,1995,210000000
528,Universal Pictures,2005,96889998
529,Gracie Films,2007,527068851
530,Village Roadshow Pictures,2001,37317558
531,Epsilon Motion Pictures,2001,54744738
532,Path Renn Productions,2004,62172050
533,Scott Rudin Productions,2004,256697520
534,Twentieth Century Fox Film Corporation,1998,294456605
535,KennedyMarshall Company,2002,408247917
536,DreamWorks SKG,2004,919838758
537,Walt Disney Pictures,2006,461983149
538,Paramount Pictures,1999,309457509
539,Columbia Pictures,2002,277448382
540,Paramount Pictures,2015,311594032
541,Touchstone Pictures,1996,309492681
542,Universal Pictures,2009,319131050
543,Amblin Entertainment,1991,300854823
544,Twentieth Century Fox Film Corporation,1990,240031094
545,Original Film,2003,116643346
546,Paramount Pictures,2001,203388341
547,Legendary Pictures,2006,42285169
548,Impact Pictures,2004,171183863
549,Regency Enterprises,2009,443140005
550,Icon Entertainment International,2002,114660784
551,Nu Image Films,2013,161025640
552,Paramount Pictures,1998,118000000
553,Columbia Pictures,2011,202466756
554,Columbia Pictures,2003,122919055
555,DreamWorks SKG,2011,177584879
556,Columbia Pictures,2014,154984035
557,Twentieth Century Fox Film Corporation,1989,90000098
558,Twentieth Century Fox Film Corporation,2010,134748021
559,Universal Pictures,2014,215529201
560,Twentieth Century Fox Film Corporation,1998,116672912
561,Paramount Pictures,2007,135560026
562,TriStar Pictures,1997,131457682
563,Imagine Entertainment,2011,67112664
564,Jerry Bruckheimer Films,2002,65977295
565,Di Bonaventura Pictures,2005,55987321
566,Columbia Pictures Corporation,2002,33561137
567,Lakeshore Entertainment,2012,160112671
568,New Line Cinema,2012,59418613
569,David Foster Productions,2002,32287044
570,Current Entertainment,2011,57777106
571,Epsilon Motion Pictures,2002,19924033
572,Paramount Pictures,1998,19870567
573,Conundrum Entertainment,2001,13596911
574,Prana Animation Studios,2013,18662027
575,Universal Pictures,2015,17752940
576,Paramount Pictures,2004,57958696
577,Intermedia Films,2006,38629478
578,Summit Entertainment,2013,122915111
579,Millennium Films,2014,61279452
580,Paramount Pictures,2002,193000000
581,Summit Entertainment,2010,698491347
582,Paramount Pictures,2001,71069884
583,Universal Pictures,2010,543513985
584,Columbia Pictures,1995,35431113
585,Universal Pictures,2015,217022588
586,Himenptero,2009,39041505
587,Universal Pictures,1999,29762011
588,New Line Cinema,2011,83160734
589,Spyglass Entertainment,1999,60289912
590,Walt Disney Pictures,2016,52099090
591,Scott Free Productions,2008,113280098
592,Paramount Pictures,2010,86387857
593,Twentieth Century Fox Film Corporation,2012,112265139
594,Fountainbridge Films,1999,212404396
595,Twentieth Century Fox Film Corporation,1998,189198313
596,Ingenious Film Partners,2007,25303038
597,Paramount Pictures,1998,481840909
598,DreamWorks SKG,2014,203277636
599,Paramount Pictures,2000,374111707
600,Twentieth Century Fox Film Corporation,2002,383257136
601,Village Roadshow Pictures,2003,75715436
602,DreamWorks,2012,275293450
603,Village Roadshow Pictures,1999,463517383
604,Imagine Entertainment,1995,355237933
605,Walt Disney Pictures,2002,172855065
606,Universal Pictures,2012,441809770
607,Warner Bros.,1998,250821495
608,Columbia Pictures,2008,128107642
609,Amblin Entertainment,1998,250288523
610,Legendary Pictures,2010,211780824
611,Legendary Pictures,2014,163442937
612,Village Roadshow Pictures,2000,128884132
613,TriStar Pictures,1993,255000211
614,Twentieth Century Fox Film Corporation,1996,150270147
615,Walt Disney Pictures,2000,69700000
616,Paramount Pictures,2006,162945894
617,Paramount Pictures,2012,179379533
618,Hobby Films,1999,162091208
619,Columbia Pictures,2014,133821816
620,Kramer & Sigman Films,2015,153962963
621,Dune Entertainment,2012,156974557
622,New Line Cinema,2004,128905366
623,United Artists,1984,38376497
624,DavisFilms,2012,240159255
625,Universal Pictures,2008,73762516
626,New Line Cinema,1996,89456761
627,Columbia Pictures Corporation,2005,64321501
628,Regency Enterprises,1999,100853753
629,Legendary Pictures,2006,43545364
630,TriStar Pictures,1991,17218080
631,Lakeshore Entertainment,2014,71154592
